id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20181008_161952_1012,0,0.11,267696,4625283,2018-10-08T16:19:52.270184Z,1753884
20181015_155150_1052,0,0,305688,4632174,2018-10-15T15:51:50.046097Z,1770187
20181015_161925_1009,0,0,271917,4626675,2018-10-15T16:19:25.702526Z,1769441
20181016_155110_0f36,0,0,326148,4637016,2018-10-16T15:51:10.007117Z,1771938
20181016_155111_0f36,0,0,323592,4650453,2018-10-16T15:51:11.910282Z,1771938
20181016_161644_1005,0,0.01,335844,4618179,2018-10-16T16:16:44.008198Z,1771101
20181016_161645_1005,0,0,334053,4610871,2018-10-16T16:16:45.065162Z,1771101
20181016_161915_103e,0,0,282273,4654926,2018-10-16T16:19:15.328459Z,1778552
20181016_161917_103e,0,0,278514,4640295,2018-10-16T16:19:17.443961Z,1778552
20181017_155231_104e,0,0,287283,4653312,2018-10-17T15:52:31.272232Z,1773130
20181017_162017_1040,0,0,269988,4655226,2018-10-17T16:20:17.697253Z,1772634
20181018_155115_0f4b,0,0.05,307800,4631205,2018-10-18T15:51:15.76239Z,1774353
20181018_155118_0f4b,0,0.01,304179,4650786,2018-10-18T15:51:18.555272Z,1774353
20181018_161635_103b,0,0.02,337254,4616700,2018-10-18T16:16:35.995637Z,1774425
20181020_155137_1_1048,0,0.15,296943,4634133,2018-10-20T15:51:37.029846Z,1778862
20181020_155138_1048,0.04,0.25,294405,4647696,2018-10-20T15:51:38.939303Z,1778862
20181020_161915_1025,0,0.09,275544,4648512,2018-10-20T16:19:15.731671Z,1778942
20181021_161834_1038,0,0,305778,4641285,2018-10-21T16:18:34.284978Z,1781437
20181021_161835_1038,0.01,0,303927,4633977,2018-10-21T16:18:35.348758Z,1781437
20181022_161834_101b,0,0.09,299514,4617879,2018-10-22T16:18:34.638326Z,1783976
20181023_155037_1051,0,0,308796,4616841,2018-10-23T15:50:37.335167Z,1787631
20181023_161640_1014,0,0,338100,4637652,2018-10-23T16:16:40.869916Z,1786732
20181023_161642_1014,0,0.01,334452,4622964,2018-10-23T16:16:42.992758Z,1786732
20181023_161739_1035,0,0,308862,4621494,2018-10-23T16:17:39.980587Z,1786731
20181024_155147_0f21,0,0.01,271449,4647501,2018-10-24T15:51:47.043174Z,1789150
20181024_161629_1029,0,0.02,315900,4608972,2018-10-24T16:16:29.028897Z,1789608
